Fclt Building Hist Key,Fiscal Period,Fclt Building Key,Building Number,Parent Building Number,Parent Building Name,Parent Building Name Long,Building Name Long,Ext Gross Area,Assignable Area,Non Assignable Area,Site,Campus Sector,Access Level Code,Access Level Name,Building Type,Ownership Type,Building Use,Occupancy Class,Building Height,Cost Center Code,Cost Collector Key,Latitude Wgs,Longitude Wgs,Easting X Spcs,Northing Y Spcs,Building Sort,Building Named For,Building Name,Date Built,Date Acquired,Date Occupied,Warehouse Load Date,Num Of Rooms
14S-201505,201505,14S,14S,14,HAYDEN MEMORIAL LIBRARY,Charles Hayden Memorial Library,Charles Hayden Memorial Library (South Wing),"48,622.24","34,500.48","10,286.49",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,(NULL),"","","","","","","",14S,"",HAYDEN MEMORIAL LIBRARY (S),"","","",12/01/14 05:12 AM,118
46-201505,201505,46,46,"","","",Brain & Cognitive Sciences Complex,"418,662.59","218,518.89","152,699.33",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,(NULL),136.40,1814600,1814600,42.36233,-71.09164,"766,530.28538","2,957,325.64557",46,"",BCSC,04/25/03 12:00 AM,"",09/01/05 12:00 AM,12/01/14 05:12 AM,"1,403"
E14-201505,201505,E14,E14,"","","",Building E14,"173,875.21","73,792.6","83,752.67",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,(NULL),"",1821400,1821400,42.36046,-71.08733,"767,698.51797","2,956,651.90718",E14,"",BUILDING E14,"","","",12/01/14 05:12 AM,341
E17-201505,201505,E17,E17,"","","",Seely G Mudd Building,"83,518.04","54,135.52","21,499.9",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGBA3,82.80,1821700,1821700,42.36148,-71.08789,"767,547.05603","2,957,023.1827",E17,SEELY G. MUDD,MUDD BUILDING,12/31/32 12:00 AM,"",03/06/75 12:00 AM,12/01/14 05:12 AM,342
E18-201505,201505,E18,E18,"","","",Horace Sayford Ford Building (E18),"113,139.11","68,988.6","34,733.83",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGBI2,88.30,1821800,1821800,42.36177,-71.08779,"767,571.81186","2,957,126.29198",E18,HORACE SAYFORD FORD JR.,FORD BUILDING (E18),12/31/20 12:00 AM,05/01/61 12:00 AM,10/01/64 12:00 AM,12/01/14 05:12 AM,380
NW12-201505,201505,NW12,NW12,"","","",Nuclear Reactor Laboratory,"49,933.39","34,857.85","9,710.88",MIT,NORTHWEST,0.00,0,ACADEMIC,OWNED,AER,UGB,47.30,1841200,1841200,42.3601,-71.09686,"765,123.30905","2,956,508.19996",NW12,"",NUCLEAR REACTOR LAB,12/31/37 12:00 AM,12/31/55 12:00 AM,12/31/55 12:00 AM,12/01/14 05:12 AM,166
N16B-201505,201505,N16B,N16B,"","","",Fire Pump House,"1,249.72",0,"1,160.58",MIT,NORTH,0.00,0,SERVICE,OWNED,OTH,UGU,"","","",42.36124,-71.09423,"765,833.84857","2,956,926.21352",N16B,"",FIRE PUMP ROOM,"","","",12/01/14 05:12 AM,5
NE46-201505,201505,NE46,NE46,"","","",400 Technology Square,"9,215.4","7,989.19",239.41,MIT,"",2.00,2,ACADEMIC,LEASED,AER,(NULL),0.00,"","","","","","",NE46,"",400 TECHNOLOGY SQUARE,04/25/14 12:00 AM,"","",12/01/14 05:12 AM,36
W13-201505,201505,W13,W13,"","","",Bexley Hall,"52,878.95","39,026.29","6,156.84",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,45.80,1345600,1345600,42.35853,-71.0937,"765,981.6923","2,955,940.43088",W13,"",BEXLEY HALL,12/31/12 12:00 AM,12/31/39 12:00 AM,09/01/39 12:00 AM,12/01/14 05:12 AM,150
OC19M-201505,201505,OC19M,OC19M,"","","",BATES LINAC: Barn,"2,225.34","2,062.22",0,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,"","","","",OC19M,"",BATES LINAC: BARN,"","","",12/01/14 05:12 AM,3
OC26-201505,201505,OC26,OC26,"","","",Haystack Atmospheric Sciences Building,"1,396.85","1,220.02",30.67,HAY,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,UGB,"","","",42.61878,-71.49063,"658,688.02823","3,050,520.56256",OC26,"",HAYSTACK ATMOSPHERIC SCIENCES BUILDING,"","","",12/01/14 05:12 AM,10
OC31A-201505,201505,OC31A,OC31A,"","","",Katahdin Hill 1A,"2,989.21","2,567.45",151.48,LINC,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,(NULL),"","","","","","","",OC31A,"",KATAHDIN HILL 1A,"","","",12/01/14 05:12 AM,7
OC36-201505,201505,OC36,OC36,"","","",Annex 6,"6,910.33","4,364.63","1,851.64",LINC,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,(NULL),"","","","","","","",OC36,"",ANNEX 6,"","","",12/01/14 05:12 AM,28
W16-201505,201505,W16,W16,"","","",Kresge Auditorium,"42,145.98","20,454.71","17,716.79",MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGA1A3,50.20,1831600,1831600,42.35813,-71.09506,"765,614.61178","2,955,792.88808",W16,SEBASTIAN S. KRESGE,KRESGE AUDITORIUM,05/01/53 12:00 AM,"",12/31/56 12:00 AM,12/01/14 05:12 AM,93
W20-201505,201505,W20,W20,"","","",Julius Adams Stratton Student Center,"183,162","116,165.53","55,856.44",MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGA3M,75.00,1832000,1832000,42.35904,-71.09477,"765,689.59945","2,956,124.35288",W20,JULIUS ADAMS STRATTON,STRATTON STUDENT CENTER,09/01/63 12:00 AM,"",10/01/65 12:00 AM,12/01/14 05:12 AM,428
W61G-201505,201505,W61G,W61G,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing G),"12,942.63","9,430.07","1,289.78",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61G,"",MACGREGOR HOUSE (G),"","","",12/01/14 05:12 AM,99
W70-201505,201505,W70,W70,"","","",New West Campus Houses,"114,930.31","68,693.54","32,792.85",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,46.90,1347500,1347500,42.35516,-71.10053,"764,140.06982","2,954,702.58429",W70,"",NEW HOUSE,06/01/74 12:00 AM,"",12/31/76 12:00 AM,12/01/14 05:12 AM,13
