Hr Org Unit Key,Hr Org Unit Id,Hr Org Unit Title,Hr Org Unit Level,Hr Department Id,Hr Department Code,Hr Department Code Old,Hr Department Name,Hr Department Name Long,Hr Department Name Alpha,Org Hier School Area Name,Org Hier Top Level Name,Org Hier Root Name,Hr Org Level1 Id,Hr Org Level1 Sort,Hr Org Level1 Name,Hr Org Level2 Id,Hr Org Level2 Sort,Hr Org Level2 Name,Hr Org Level3 Id,Hr Org Level3 Sort,Hr Org Level3 Name,Hr Org Level4 Id,Hr Org Level4 Sort,Hr Org Level4 Name,Hr Org Level5 Id,Hr Org Level5 Sort,Hr Org Level5 Name,Dlc Key,Dlc Name,Warehouse Load Date
O10002058,10002058,VP for Info Services & Technology Area,ORGANIZATION LEVEL,,,,,,,VP for Info Services & Technology Area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10002058.0,396.0,VP for Info Services & Technology Area,,,,,,,,,01/08/16 01:03 AM
O10000552,10000552,Center for Environmental Health Sciences,DEPARTMENTS,10000552.0,HR-165000,165000.0,Center for Environmental Health Sciences,Center for Environmental Health Sciences,Center for Environmental Health Sciences,VP Research,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000032.0,281.0,VP Research,10000552.0,282.0,Center for Environmental Health Sciences,,,,D_CEHS,Center for Environmental Health Sciences,01/08/16 01:03 AM
O10000957,10000957,Comp Sci & Artificial Intelligence Lab,DEPARTMENTS,10000957.0,HR-067900,67900.0,Comp Sci & Artificial Intelligence Lab,Computer Science & Artificial Intelligence Lab,,VP Research,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000032.0,281.0,VP Research,10003985.0,287.0,CSAIL Area,10000957.0,288.0,Comp Sci & Artificial Intelligence Lab,D_CSAIL,Computer Sciences and Artificial Intelligence Lab,01/08/16 01:03 AM
O10002708,10002708,SoE Dept/Lab/Center/Director Org,DEPARTMENTS,10002708.0,HR-060100,60100.0,SoE Dept/Lab/Center/Director Org,SoE Dept/Lab/Center/Director Org,SoE Dept/Lab/Center/Director Org,Engineering Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000018.0,25.0,Engineering Area,10002708.0,36.0,SoE Dept/Lab/Center/Director Org,,,,D_DHSOE,School of Engineering Department Heads,01/08/16 01:03 AM
O10000339,10000339,Biotechnology Process Engineering Center,DEPARTMENTS,10000339.0,HR-068800,68800.0,Biotechnology Process Engineering Center,Biotechnology Process Engineering Center,Biotechnology Process Engineering Center,Engineering Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000018.0,25.0,Engineering Area,10000339.0,78.0,Biotechnology Process Engineering Center,,,,D_BPEC,Biotechnology Process Engineering Center,01/08/16 01:03 AM
O10000658,10000658,Vice Pres for Resource Development,DEPARTMENTS,10000658.0,HR-410000,410000.0,Vice Pres for Resource Development,Office of the Vice President for Resource Devlpmnt,Office of the Vice President for Resource Devlpmnt,VP for Resource Development,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10000035.0,401.0,VP for Resource Development,10000187.0,402.0,Office VP Resource Development,10000658.0,408.0,Vice Pres for Resource Development,D_RESDEV,Vice President for Resource Development,01/08/16 01:03 AM
O10000662,10000662,Global Initiatives,DEPARTMENTS,10000662.0,HR-410035,410035.0,Global Initiatives,Global Initiatives,Global Initiatives,VP for Resource Development,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10000035.0,401.0,VP for Resource Development,10000187.0,402.0,Office VP Resource Development,10000662.0,412.0,Global Initiatives,D_RESDEV,Vice President for Resource Development,01/08/16 01:03 AM
O10000665,10000665,Office of Development Systems,DEPARTMENTS,10000665.0,HR-410060,410060.0,Office of Development Systems,Office of Development Systems,,VP for Resource Development,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10000035.0,401.0,VP for Resource Development,10000187.0,402.0,Office VP Resource Development,10000665.0,415.0,Office of Development Systems,D_RESDEV,Vice President for Resource Development,01/08/16 01:03 AM
O10000162,10000162,Libraries,ORGANIZATION LEVEL,,,,,,,"Libraries, MIT Press, Tech Review",Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000022.0,221.0,"Libraries, MIT Press, Tech Review",10000162.0,222.0,Libraries,,,,,,01/08/16 01:03 AM
O10000580,10000580,Document Services,DEPARTMENTS,10000580.0,HR-271050,271050.0,Document Services,Document Services,Document Services,"Libraries, MIT Press, Tech Review",Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000022.0,221.0,"Libraries, MIT Press, Tech Review",10000162.0,222.0,Libraries,10000580.0,224.0,Document Services,D_LIBRARIES,Libraries,01/08/16 01:03 AM
