Fclt Building Address Key,Fclt Building Key,Fiscal Period,Fclt Building Address Hist Key,Building Number,Address Purpose,Address City Id,Is E911 Address,Street Number,Street Number Suffix,Pre Directional,Street Name,Street Suffix,Post Directional,City,State,Postal Code,Warehouse Load Date
26-STREET,26,201505,26-STREET-201505,26,STREET,711,"",60,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
31-E911_1,31,201505,31-E911_1-201505,31,E911_1,31913,"",70,R,"",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
31-MAIL,31,201505,31-MAIL-201505,31,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
31-PARCL1,31,201505,31-PARCL1-201505,31,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,12/01/14 05:12 AM
31-STREET,31,201505,31-STREET-201505,31,STREET,"","",70,"","",VASSAR,ST,(Rear),CAMBRIDGE,MA,02139,12/01/14 05:12 AM
32-E911_1,32,201505,32-E911_1-201505,32,E911_1,26366,"",32,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
32-MAIL,32,201505,32-MAIL-201505,32,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
32-STREET,32,201505,32-STREET-201505,32,STREET,26366,"",32,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
32P-E911_1,32P,201505,32P-E911_1-201505,32P,E911_1,26366,"",32,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
32P-MAIL,32P,201505,32P-MAIL-201505,32P,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
32P-STREET,32P,201505,32P-STREET-201505,32P,STREET,26366,"",32,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
33-E911_1,33,201505,33-E911_1-201505,33,E911_1,703,"",125,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
33-MAIL,33,201505,33-MAIL-201505,33,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
33-PARCL1,33,201505,33-PARCL1-201505,33,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,12/01/14 05:12 AM
33-STREET,33,201505,33-STREET-201505,33,STREET,703,"",125,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
34-E911_1,34,201505,34-E911_1-201505,34,E911_1,26367,"",50,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
34-MAIL,34,201505,34-MAIL-201505,34,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
34-PARCL1,34,201505,34-PARCL1-201505,34,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,12/01/14 05:12 AM
34-STREET,34,201505,34-STREET-201505,34,STREET,26367,"",50,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
35-E911_1,35,201505,35-E911_1-201505,35,E911_1,26994,"",127,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
35-MAIL,35,201505,35-MAIL-201505,35,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
35-PARCL1,35,201505,35-PARCL1-201505,35,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,12/01/14 05:12 AM
35-STREET,35,201505,35-STREET-201505,35,STREET,26994,"",127,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
36-E911_1,36,201505,36-E911_1-201505,36,E911_1,26367,"",50,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
36-MAIL,36,201505,36-MAIL-201505,36,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
36-PARCL1,36,201505,36-PARCL1-201505,36,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,12/01/14 05:12 AM
36-STREET,36,201505,36-STREET-201505,36,STREET,26367,"",50,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
37-E911_1,37,201505,37-E911_1-201505,37,E911_1,706,"",70,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
37-MAIL,37,201505,37-MAIL-201505,37,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
37-PARCL1,37,201505,37-PARCL1-201505,37,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,12/01/14 05:12 AM
37-STREET,37,201505,37-STREET-201505,37,STREET,706,"",70,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
38-E911_1,38,201505,38-E911_1-201505,38,E911_1,26367,"",50,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
38-MAIL,38,201505,38-MAIL-201505,38,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
38-PARCL1,38,201505,38-PARCL1-201505,38,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,12/01/14 05:12 AM
38-STREET,38,201505,38-STREET-201505,38,STREET,26367,"",50,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
39-E911_1,39,201505,39-E911_1-201505,39,E911_1,711,"",60,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
39-MAIL,39,201505,39-MAIL-201505,39,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
39-PARCL1,39,201505,39-PARCL1-201505,39,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,12/01/14 05:12 AM
39-STREET,39,201505,39-STREET-201505,39,STREET,711,"",60,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
41-E911_1,41,201505,41-E911_1-201505,41,E911_1,30245,"",77,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
41-MAIL,41,201505,41-MAIL-201505,41,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
41-PARCL1,41,201505,41-PARCL1-201505,41,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,12/01/14 05:12 AM
41-STREET,41,201505,41-STREET-201505,41,STREET,30245,"",77,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
42-E911_1,42,201505,42-E911_1-201505,42,E911_1,684,"",59,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
42-MAIL,42,201505,42-MAIL-201505,42,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
42-PARCL1,42,201505,42-PARCL1-201505,42,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,12/01/14 05:12 AM
42-STREET,42,201505,42-STREET-201505,42,STREET,684,"",59,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
42T-E911_1,42T,201505,42T-E911_1-201505,42T,E911_1,684,"",59,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
42T-STREET,42T,201505,42T-STREET-201505,42T,STREET,684,"",59,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
43-E911_1,43,201505,43-E911_1-201505,43,E911_1,29749,"",57,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
43-MAIL,43,201505,43-MAIL-201505,43,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
43-PARCL1,43,201505,43-PARCL1-201505,43,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,12/01/14 05:12 AM
43-STREET,43,201505,43-STREET-201505,43,STREET,29749,"",57,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
44-E911_1,44,201505,44-E911_1-201505,44,E911_1,718,"",51,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
44-MAIL,44,201505,44-MAIL-201505,44,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
44-PARCL1,44,201505,44-PARCL1-201505,44,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,12/01/14 05:12 AM
44-STREET,44,201505,44-STREET-201505,44,STREET,718,"",51,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
46-E911_1,46,201505,46-E911_1-201505,46,E911_1,29292,"",43,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,12/01/14 05:12 AM
