Fclt Organization Key,Organization Id,Organization,Organization Name,Fclt Org Parent Key,Org Parent,Fclt Major Org Key,Major Org,Organization Level,Organization Number,Organization Sort,Assignable,Course,Description,Warehouse Load Date,Dlc Key,Dlc Name,Hr Department Code Old,Hr Org Unit Id,Hr Department Name
101,101,A/VSVC,AUDIO-VISUAL SVC,129,ENTSVC,CHNCLR,874100,6,874100,0101030309,1,"","",01/08/16 05:13 AM,D_AVS,Audiovisual Services,874100,10000917,Audio Visual Services
102,102,ACT,ART CULT & TECH,230,SAP,PROVST,038000,5,038000,0101060034,1,"","",01/08/16 05:13 AM,D_ACT,Program in Art Culture & Technology,038000,10000276,"Program in Art, Culture and Technology"
103,103,ADMISS,ADMISSIONS,129,DUE,CHNCLR,446100,5,446100,0101030402,1,"","",01/08/16 05:13 AM,D_ADM,Admissions,446100,10000755,Admissions Office
104,104,AERO,AERO & ASTRO,230,S ENG,PROVST,061000,5,061000,0101060054,1,16,"",01/08/16 05:13 AM,D_AEROASTRO,Aeronautics and Astronautics,061000,10000299,Aeronautics and Astronautics
105,105,ALL,ALL,105,"",ALL,"",1,"",0100000000,0,"","",01/08/16 05:13 AM,"","","","",""
106,106,ALUMNI,ALUMNI/AE ASSOC,163,EXECVP,EXECVP,871000,4,871000,0101030603,1,"","",01/08/16 05:13 AM,D_ALUM,Alumni Association,871000,10000910,Alumni Association
107,107,ANTHRO,ANTHROPOLOGY,230,S H&SS,PROVST,093200,5,093200,0101060136,1,21A,"",01/08/16 05:13 AM,D_ANTHRO,Anthropology,093200,10000361,Anthropology Program
108,108,APRART,ASSOC PROV ARTS,230,PROVST,PROVST,401813,4,401813,0101060006,1,"","",01/08/16 05:13 AM,D_ARTS,Office of The Arts,401813,10000606,Office of the Arts
109,109,APROV,ASSOC PROVOST,230,PROVST,PROVST,401801,4,401801,0101060003,1,"","",01/08/16 05:13 AM,D_MASDAR,Masdar Institute,401801,10004208,Masdar
110,110,ARCH,ARCHITECTURE,230,SAP,PROVST,031000,5,031000,0101060036,1,4,"",01/08/16 05:13 AM,D_ARCH,Architecture,031000,10000270,Architecture
111,111,ASP,ADVD STUDY PROGM,230,S ENG,PROVST,061400,5,061400,0101060052,1,"","",01/08/16 05:13 AM,D_ASP,Advanced Study Program,061400,10000928,Advanced Study Program
112,112,ATHENA,ATHENA,271,ZORG,ZORG,"",4,"",0101120003,1,"","",01/08/16 05:13 AM,D_IS&T,Information Services and Technology,"","",""
113,113,ATHLTC,ATHLETICS,129,DSL,CHNCLR,501000,5,501000,0101030301,1,"","",01/08/16 05:13 AM,D_ATHLETICS,"Dept of Athletics, Phys Ed, & Recreation",501000,10000804,DAPER Intercollegiate Sports
114,114,AUDIT,AUDIT DIVISION,163,EXECVP,EXECVP,423000,4,423000,0101030606,1,"","",01/08/16 05:13 AM,D_AUDIT,Audit Division,423000,10000698,Audit Division
115,115,BCS,BRAIN & COG SCI,230,S SCI,PROVST,154500,5,154500,0101060168,1,9,"",01/08/16 05:13 AM,D_B&CS,Brain & Cognitive Sciences,154500,10000535,Brain & Cognitive Sciences
116,116,BEDEP,BIOENG DEPT,230,S ENG,PROVST,069200,5,069200,0101060060,1,BE,"",01/08/16 05:13 AM,D_BIOENG,Biological Engineering,069200,10000347,Department of Biological Engineering
117,117,BIOLGY,BIOLOGY,230,S SCI,PROVST,151000,5,151000,0101060165,1,7,"",01/08/16 05:13 AM,D_BIOLOGY,Biology,151000,10000429,Biology
118,118,BIOTEC,BIOTEC PRO ENG C,230,S ENG,PROVST,068800,5,068800,0101060063,1,"","",01/08/16 05:13 AM,D_BPEC,Biotechnology Process Engineering Center,068800,10000339,Biotechnology Process Engineering Center
119,119,CAES,C FOR ADV EDU SV,230,OFPROV,PROVST,405100,5,405100,0101060027,1,CAES,"",01/08/16 05:13 AM,D_CAES,Center for Advanced Educational Services,405100,10000624,Center for Advanced Educational Services
120,120,CAMMIT,CAMBRIDGE-MIT INST,271,ZORG,ZORG,400900,4,400900,0101120004,1,"","",01/08/16 05:13 AM,D_CMI,Cambridge-MIT Institute,400900,10000594,Cambridge-MIT Institute
121,121,CARDSV,CARD SERVICES,129,ENTSVC,CHNCLR,862000,6,862000,0101030310,1,"","",01/08/16 05:13 AM,D_MITCARD,MIT Card Office,862000,10000909,MIT Card Office
122,122,CAREER,CAREER SERVICES,129,DUE,CHNCLR,446600,5,446600,0101030404,1,"","",01/08/16 05:13 AM,D_CSPA,Career Serv & Pre-Prof Advising,446600,10000759,Global Education & Career Developmnt Ctr
125,125,CHAIRM,CHAIRMAN OF CORP,125,PRES,CHAIRM,400000,3,400000,0101010000,1,"","",01/08/16 05:13 AM,D_CORP_CHAIR,Office of the Corporate Chairman,400000,10000592,Chairman of the Corporation
126,126,CHEM,CHEMISTRY,230,S SCI,PROVST,152000,5,152000,0101060177,1,5,"",01/08/16 05:13 AM,D_CHEM,Chemistry,152000,10000491,Chemistry
127,127,CHEME,CHEMICAL ENG,230,S ENG,PROVST,062000,5,062000,0101060075,1,10,"",01/08/16 05:13 AM,D_CHEME,Chemical Engineering,062000,10000319,Chemical Engineering
128,128,CHILDC,CHILD CARE,163,HMNRES,EXECVP,409500,6,409000,0101030666,1,"","",01/08/16 05:13 AM,D_BA,Benefits Administration,409000,10000653,Human Resources
129,129,CHNCLR,CHANCELLOR,129,PRES,CHNCLR,"",3,"",0101030000,1,"","",01/08/16 05:13 AM,D_CHANCELLOR,Chancellor's Office,"","",""
130,130,CIPD,C INNOV PROD DEV,230,S ENG,PROVST,068900,5,068900,0101060069,1,"","",01/08/16 05:13 AM,D_CIPD,Center for Innovation in Product Development,068900,10000346,Center for Innovation in Product Develmt
131,131,CIS,C FOR INT STUDIE,230,S H&SS,PROVST,097500,5,097500,0101060138,1,"","",01/08/16 05:13 AM,D_CIS,Center for International Studies,097500,10000371,Center for International Studies
132,132,CIVIL,CIVIL & ENV ENG,230,S ENG,PROVST,063000,5,063000,0101060078,1,1,"",01/08/16 05:13 AM,D_CEE,Civil & Environmental Engineering,063000,10000320,Civil and Environmental Engineering
133,133,CMPACT,CAMP ACTIV COMPL,129,DSL,CHNCLR,405500,5,405500,0101030303,1,"","",01/08/16 05:13 AM,D_CAC,Campus Activities Complex,405500,10000636,Campus Activities Complex
134,134,CMRA&E,C FOR MT RES A&E,230,MS&E,PROVST,401830,6,401830,0101060117,1,"","",01/08/16 05:13 AM,D_DMSE,Dept Material Science and Engineering,"","",""
135,135,CMS/W,COMPARATIVE MEDIA STUDIES,230,S H&SS,PROVST,093800,5,093800,0101060139,1,CMS,"",01/08/16 05:13 AM,D_CMS,Comparative Media Studies/Writing,093800,10000366,Comparative Media Studies/Writing
136,136,CMSE,C FOR M S & ENG,230,S ENG,PROVST,246000,5,246000,0101060079,1,"","",01/08/16 05:13 AM,D_CMSE,Center for Materials Science & Engineering,246000,10000573,Center for Matl Science and Engineering
137,137,CONCRS,CONCOURSE,129,DUE,CHNCLR,069600,5,069600,0101030405,1,"","",01/08/16 05:13 AM,D_CONCOURSE,Concourse,069600,10002483,Concourse
138,138,COPYTC,COPY TECH CENTER,129,ENTSVC,CHNCLR,874200,6,874200,0101030311,1,"","",01/08/16 05:13 AM,D_COPYTECH,Copy Technology Center,874200,10000918,Copy Technology Centers
139,139,CRC,CLINICAL RES CTR,230,IMES,PROVST,163000,6,163000,0101060094,1,"","",01/08/16 05:13 AM,D_CLINRES,Clinical Research Center,163000,10000550,Clinical Research Center
140,140,CRE,C FOR RL ESTATE,230,SAP,PROVST,033000,5,033000,0101060042,1,"","",01/08/16 05:13 AM,D_CRE,Center for Real Estate,033000,10000272,Center for Real Estate
141,141,CRPDEV,CORP DEVELOPMENT,163,VP-DEV,EXECVP,410010,5,410010,0101030678,1,"","",01/08/16 05:13 AM,D_RESDEV,Vice President for Resource Development,410010,10000659,Corporate Development
142,142,CSAIL,COMP SCI & AI LAB,230,VP-RES,PROVST,067900,5,067900,0101060208,1,"","",01/08/16 05:13 AM,D_CSAIL,Computer Sciences and Artificial Intelligence Lab,067900,10000957,Comp Sci & Artificial Intelligence Lab
