Hr Org Unit Key,Hr Org Unit Id,Hr Org Unit Title,Hr Org Unit Level,Hr Department Id,Hr Department Code,Hr Department Code Old,Hr Department Name,Hr Department Name Long,Hr Department Name Alpha,Org Hier School Area Name,Org Hier Top Level Name,Org Hier Root Name,Hr Org Level1 Id,Hr Org Level1 Sort,Hr Org Level1 Name,Hr Org Level2 Id,Hr Org Level2 Sort,Hr Org Level2 Name,Hr Org Level3 Id,Hr Org Level3 Sort,Hr Org Level3 Name,Hr Org Level4 Id,Hr Org Level4 Sort,Hr Org Level4 Name,Hr Org Level5 Id,Hr Org Level5 Sort,Hr Org Level5 Name,Dlc Key,Warehouse Load Date
O10000527,10000527,"Earth, Atmospheric &  Planetary Sciences",DEPARTMENTS,10000527,HR-153000,153000,"Earth, Atmospheric &  Planetary Sciences","Dept of Earth, Atmospheric, & Planetary Sciences","Earth, Atmospheric, & Planetary Sciences, Dept of",Science Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000030,117.00,Science Area,10000527,125.00,"Earth, Atmospheric &  Planetary Sciences","","","",D_EAPS,01/08/16 01:03 AM
O10000544,10000544,Kavli Inst for Astrophysics & Space Rsrh,DEPARTMENTS,10000544,HR-159600,159600,Kavli Inst for Astrophysics & Space Rsrh,Kavli Institute for Astrophysics & Space Research,Kavli Institute for Astrophysics & Space Research,Science Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000030,117.00,Science Area,10000544,132.00,Kavli Inst for Astrophysics & Space Rsrh,"","","",D_CSR,01/08/16 01:03 AM
O10000548,10000548,Whitaker College of Health Sci & Tech,DEPARTMENTS,10000548,HR-160000,160000,Whitaker College of Health Sci & Tech,Whitaker College of Health Science & Technology,Whitaker College of Health Science & Technology,Whitaker,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000036,312.00,Whitaker,10000548,313.00,Whitaker College of Health Sci & Tech,"","","",D_WHIT,01/08/16 01:03 AM
O10000552,10000552,Center for Environmental Health Sciences,DEPARTMENTS,10000552,HR-165000,165000,Center for Environmental Health Sciences,Center for Environmental Health Sciences,Center for Environmental Health Sciences,VP Research,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000032,281.00,VP Research,10000552,282.00,Center for Environmental Health Sciences,"","","",D_CEHS,01/08/16 01:03 AM
O10000554,10000554,Leaders for Global Operations Program,DEPARTMENTS,10000554,HR-170000,170000,Leaders for Global Operations Program,Leaders for Global Operations Program,Leaders for Global Operations Program,Engineering Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000018,25.00,Engineering Area,10000554,84.00,Leaders for Global Operations Program,"","","",D_LGO,01/08/16 01:03 AM
O10000565,10000565,Information Systems & Technology,DEPARTMENTS,10000565,HR-242800,242800,Information Systems & Technology,Information Systems & Technology,Information Systems & Technology,VP for Info Services & Technology Area,Executive Vice President Area,MIT-All,10000000,1.00,MIT-All,10000002,316.00,Executive Vice President Area,10002058,396.00,VP for Info Services & Technology Area,10000194,397.00,Information Systems Area,10000565,398.00,Information Systems & Technology,D_IS&T,01/08/16 01:03 AM
O10000573,10000573,Center for Matl Science and Engineering,DEPARTMENTS,10000573,HR-246000,246000,Center for Matl Science and Engineering,Center for Materials Science and Engineering,Center for Materials Science and Engineering,Engineering Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000018,25.00,Engineering Area,10000573,57.00,Center for Matl Science and Engineering,"","","",D_CMSE,01/08/16 01:03 AM
O10000577,10000577,MIT Sea Grant College Program,DEPARTMENTS,10000577,HR-266300,266300,MIT Sea Grant College Program,Sea Grant College Program,Sea Grant College Program,Engineering Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000018,25.00,Engineering Area,10004983,47.00,Mechanical Eng Area,10000577,48.00,MIT Sea Grant College Program,D_MECHE,01/08/16 01:03 AM
O10000584,10000584,Technology Development Program,DEPARTMENTS,10000584,HR-321000,321000,Technology Development Program,Technology and Development Program,Technology and Development Program,VP Research,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000032,281.00,VP Research,10000584,304.00,Technology Development Program,"","","",D_TDP,01/08/16 01:03 AM
O10002033,10002033,Enterprise Services Area,ORGANIZATION LEVEL,"","","","","","",Dean for Student Life Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000012,140.00,Dean for Student Life Area,10002033,162.00,Enterprise Services Area,"","","","",01/08/16 01:03 AM
