Srid,Coord Ref Sys Name,Coord Sys Id,Source Geog Srid,Projection Conv Id,Information Source,Data Source
"999,999",unknown CRS,"4,400","4,600","999,999",Oracle,Oracle
"999,998",NaC,"4,400","4,600","999,999",Oracle,Oracle
"20,000,671",TM67 / TWD67,"4,400","2,000,067","2,000,067",Oracle Taiwan,Oracle Taiwan
"20,000,971",TM97 / TWD97,"4,400","2,000,097","2,000,097",Oracle Taiwan,Oracle Taiwan
1,Sinusoidal (WGS 84),"4,400","8,307","",Oracle,""
"2,000",Anguilla 1957 / British West Indies Grid,"4,400","4,600","19,942",Ordnance Survey of Great Britain,EPSG
"2,001",Antigua 1943 / British West Indies Grid,"4,400","4,601","19,942",Ordnance Survey of Great Britain,EPSG
"2,002",Dominica 1945 / British West Indies Grid,"4,400","4,602","19,942",Ordnance Survey of Great Britain,EPSG
"2,003",Grenada 1953 / British West Indies Grid,"4,400","4,603","19,942",Ordnance Survey of Great Britain,EPSG
"2,004",Montserrat 58 / British West Indies Grid,"4,400","4,604","19,942",Ordnance Survey of Great Britain,EPSG
"2,005",St Kitts 1955 / British West Indies Grid,"4,400","4,605","19,942",Ordnance Survey of Great Britain,EPSG
"2,006",St Lucia 1955 / British West Indies Grid,"4,400","4,606","19,942",Ordnance Survey of Great Britain,EPSG
"2,007",St Vincent 45 / British West Indies Grid,"4,400","4,607","19,942",Ordnance Survey of Great Britain,EPSG
"2,008",NAD27(CGQ77) / SCoPQ zone 2,"4,499","4,609","17,700",Geodetic Service of Quebec; Quebec Ministry of Natural Resources.,EPSG
"2,009",NAD27(CGQ77) / SCoPQ zone 3,"4,499","4,609","17,703",Geodetic Service of Quebec; Quebec Ministry of Natural Resources.,EPSG
"2,010",NAD27(CGQ77) / SCoPQ zone 4,"4,499","4,609","17,704",Geodetic Service of Quebec; Quebec Ministry of Natural Resources.,EPSG
"2,011",NAD27(CGQ77) / SCoPQ zone 5,"4,499","4,609","17,705",Geodetic Service of Quebec; Quebec Ministry of Natural Resources.,EPSG
"2,012",NAD27(CGQ77) / SCoPQ zone 6,"4,499","4,609","17,706",Geodetic Service of Quebec; Quebec Ministry of Natural Resources.,EPSG
"2,013",NAD27(CGQ77) / SCoPQ zone 7,"4,499","4,609","17,707",Geodetic Service of Quebec; Quebec Ministry of Natural Resources.,EPSG
"2,014",NAD27(CGQ77) / SCoPQ zone 8,"4,499","4,609","17,708",Geodetic Service of Quebec; Quebec Ministry of Natural Resources.,EPSG
"2,015",NAD27(CGQ77) / SCoPQ zone 9,"4,499","4,609","17,709",Geodetic Service of Quebec; Quebec Ministry of Natural Resources.,EPSG
"2,016",NAD27(CGQ77) / SCoPQ zone 10,"4,499","4,609","17,710",Geodetic Service of Quebec; Quebec Ministry of Natural Resources.,EPSG
"2,017",NAD27(76) / MTM zone 8,"4,499","4,608","17,708",Surveys and Mapping Section; Ontario Ministry of Transportation.,EPSG
"2,018",NAD27(76) / MTM zone 9,"4,499","4,608","17,709",Surveys and Mapping Section; Ontario Ministry of Transportation.,EPSG
"2,019",NAD27(76) / MTM zone 10,"4,499","4,608","17,710",Surveys and Mapping Section; Ontario Ministry of Transportation.,EPSG
"2,020",NAD27(76) / MTM zone 11,"4,400","4,608","17,711",Surveys and Mapping Section; Ontario Ministry of Transportation.,EPSG
"2,021",NAD27(76) / MTM zone 12,"4,400","4,608","17,712",Surveys and Mapping Section; Ontario Ministry of Transportation.,EPSG
"2,022",NAD27(76) / MTM zone 13,"4,400","4,608","17,713",Surveys and Mapping Section; Ontario Ministry of Transportation.,EPSG
"2,023",NAD27(76) / MTM zone 14,"4,400","4,608","17,714",Surveys and Mapping Section; Ontario Ministry of Transportation.,EPSG
"2,024",NAD27(76) / MTM zone 15,"4,400","4,608","17,715",Surveys and Mapping Section; Ontario Ministry of Transportation.,EPSG
"2,025",NAD27(76) / MTM zone 16,"4,400","4,608","17,716",Surveys and Mapping Section; Ontario Ministry of Transportation.,EPSG
"2,026",NAD27(76) / MTM zone 17,"4,400","4,608","17,717",Surveys and Mapping Section; Ontario Ministry of Transportation.,EPSG
"2,027",NAD27(76) / UTM zone 15N,"4,400","4,608","16,015","",EPSG
"2,028",NAD27(76) / UTM zone 16N,"4,400","4,608","16,016","",EPSG
"2,029",NAD27(76) / UTM zone 17N,"4,400","4,608","16,017","",EPSG
"2,030",NAD27(76) / UTM zone 18N,"4,400","4,608","16,018","",EPSG
"2,031",NAD27(CGQ77) / UTM zone 17N,"4,400","4,609","16,017","",EPSG
"2,032",NAD27(CGQ77) / UTM zone 18N,"4,400","4,609","16,018","",EPSG
"2,033",NAD27(CGQ77) / UTM zone 19N,"4,400","4,609","16,019","",EPSG
"2,034",NAD27(CGQ77) / UTM zone 20N,"4,400","4,609","16,020","",EPSG
