Subject Key,Subject Offered Summary Key,Master Subject Key,Composite Subject Key,Term Code,Master Course Number,Master Course Number Sort,Master Course Number Desc,Master Subject Id,Master Subject Id Sort,Course Number,Course Number Sort,Course Number Desc,Subject Id,Subject Id Sort,Subject Title,Section Id,Is Master Section,Is Lecture Section,Is Lab Section,Is Recitation Section,Is Design Section,Offer Dept Code,Offer Dept Name,Offer School Name,Responsible Faculty Name,Responsible Faculty Mit Id,Meet Time,Meet Place,Cluster Type,Cluster Type Desc,Cluster List,Hgn Code,Hgn Code Desc,Form Type,Form Type Desc,Subject Enrollment Number,Section Enrollment Number,Cluster Enrollment Number,Evaluate This Subject,Is Ose Subject,Is Created By Data Warehouse,Subject Grouping Key,Warehouse Load Date,Num Enrolled Students,Subject Summary Key,Is Repeatable Subject
0179590001997SU,17.9591997SU,0179590001997SU,17.9591997SU,1997SU,17,17,Political Science,17.959,17.959,17,17,Political Science,17.959,17.959,Reading Seminar in Soc Science,0,Y,N,N,N,N,17,Political Science,"Hum, Arts & Social Sciences",,,,,,,,H,Higher level graduate program,,,1,1,,N,,N,86CD64958F980327E0440003BACE90BC,5/8/01 0:00,1,17.9591997SU,Y
017NIV0001997SU,17.NIV1997SU,017NIV0001997SU,17.NIV1997SU,1997SU,17,17,Political Science,17.NIV, 17.NIV,17,17,Political Science,17.NIV, 17.NIV,Visiting Student Research,0,Y,N,N,N,N,17,Political Science,"Hum, Arts & Social Sciences",,,,,,,,N,Not for graduate credit,,,0,,,N,,N,,5/8/01 0:00,0,17.NIV1997SU,Y
017THU0001997SU,17.THU1997SU,017THU0001997SU,17.THU1997SU,1997SU,17,17,Political Science,17.THU, 17.THU,17,17,Political Science,17.THU, 17.THU,Thesis,0,Y,N,N,N,N,17,Political Science,"Hum, Arts & Social Sciences","Samuels, Richard",900017082,,,,,,N,Not for graduate credit,,,1,1,,N,,N,86CD64958F9B0327E0440003BACE90BC,5/8/01 0:00,1,17.THU1997SU,Y
024205L011998SP,24.2051998SP,024205L011998SP,24.2051998SP,1998SP,24,24,Linguistics and Philosophy,24.205,24.205,24,24,Linguistics and Philosophy,24.205,24.205,The Good Life,L01,N,Y,N,N,N,24,Linguistics and Philosophy,"Hum, Arts & Social Sciences",,,M2-5, 24-110,,,,N,Not for graduate credit,,,,,,N,,N,86CD64959C8B0327E0440003BACE90BC,5/8/01 0:00,0,24.2051998SP,N
0242600001998SP,24.2601998SP,0242600001998SP,24.2601998SP,1998SP,24,24,Linguistics and Philosophy,24.26,24.26,24,24,Linguistics and Philosophy,24.26,24.26,Topics in Philosophy,0,Y,N,N,N,N,24,Linguistics and Philosophy,"Hum, Arts & Social Sciences","Glanzberg, Michael",900041700,,,,,,N,Not for graduate credit,,,9,9,,N,,N,86CD64959C8E0327E0440003BACE90BC,5/8/01 0:00,9,24.2601998SP,N
0244010001998SP,24.4011998SP,0244010001998SP,24.4011998SP,1998SP,24,24,Linguistics and Philosophy,24.401,24.401,24,24,Linguistics and Philosophy,24.401,24.401,Proseminar-Philosophy II,0,Y,N,N,N,N,24,Linguistics and Philosophy,"Hum, Arts & Social Sciences","Stalnaker, Robert",900024449,,,,,,H,Higher level graduate program,,,5,5,,N,,N,86CD64959C910327E0440003BACE90BC,5/8/01 0:00,5,24.4011998SP,N
0245000001998SP,24.5001998SP,0245000001998SP,24.5001998SP,1998SP,24,24,Linguistics and Philosophy,24.5,24.5,24,24,Linguistics and Philosophy,24.5,24.5,Consciousness,0,Y,N,N,N,N,24,Linguistics and Philosophy,"Hum, Arts & Social Sciences","Byrne, Alexander",900020165,,,,,,H,Higher level graduate program,,,6,6,,N,,N,86CD64959C920327E0440003BACE90BC,5/8/01 0:00,6,24.5001998SP,Y
0245010001998SP,24.5011998SP,0245010001998SP,24.5011998SP,1998SP,24,24,Linguistics and Philosophy,24.501,24.501,24,24,Linguistics and Philosophy,24.501,24.501,Problems in Metaphysics,0,Y,N,N,N,N,24,Linguistics and Philosophy,"Hum, Arts & Social Sciences","Thomson, Judith",900019215,,,,,,H,Higher level graduate program,,,11,11,,N,,N,86CD64959C930327E0440003BACE90BC,5/8/01 0:00,11,24.5011998SP,Y
21L011R031998SP,21L.0111998SP,21L011R031998SP,21L.0111998SP,1998SP,21L,21L,Literature,21L.011,21L.011,21L,21L,Literature,21L.011,21L.011,The Film Experience,R03,N,N,N,Y,N,21L,Literature,"Hum, Arts & Social Sciences",,,R11-12.30, 56-114,,,,N,Not for graduate credit,,,,,,N,,N,86CD64959D500327E0440003BACE90BC,5/8/01 0:00,0,21L.0111998SP,N
21L434B011998SP,21L.4341998SP,21L434B011998SP,21L.4341998SP,1998SP,21L,21L,Literature,21L.434,21L.434,21L,21L,Literature,21L.434,21L.434,Science Fiction,B01,N,N,Y,N,N,21L,Literature,"Hum, Arts & Social Sciences",,,M EVE (7-10 PM),0.00E+00,,,,N,Not for graduate credit,,,,,,N,,N,86CD64959D520327E0440003BACE90BC,5/8/01 0:00,0,21L.4341998SP,N
